date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20250409,8255,アクシアル　リテイリング,1010.0,1030.2,300,6060.000000000014,2.0000000000000044,利確,09:31,11:12,2.1782,-0.099,0.3
20250410,2782,セリア,2764.0,2819.28,100,5528.00000000002,2.000000000000007,利確,09:41,10:04,2.026,-0.1447,0.91
20250411,6289,技研製作所,1393.0,1379.07,200,-2786.0000000000127,-1.0000000000000044,損切り,09:36,10:07,0.8615,-1.2204,2.5
20250414,3915,テラスカイ,1953.0,1992.06,200,7811.999999999989,1.9999999999999973,利確,09:30,12:30,2.3554,-0.3584,0.0
20250415,3185,夢展望,141.0,139.59,2800,-3947.9999999999905,-0.9999999999999976,損切り,09:33,09:34,0.0,-2.1277,2.92
20250416,8225,タカチホ,3460.0,3529.2000000000003,100,6920.000000000027,2.000000000000008,利確,09:30,09:31,4.9133,0.0,0.58
20250417,6836,ぷらっとホーム,1685.0,1668.15,200,-3369.999999999982,-0.9999999999999947,損切り,09:30,09:43,3.3828,-1.0682,0.42
20250418,8185,チヨダ,1116.0,1138.32,300,6695.999999999981,1.9999999999999942,利確,09:30,13:30,6.1828,-0.1792,1.0
20250421,4498,サイバートラスト,2480.0,2457.0,100,-2300.0,-0.9274193548387096,前場引け,09:31,11:30,0.4032,-0.9274,2.18
20250422,6977,日本抵抗器製作所,799.0,814.98,500,7990.000000000009,2.000000000000002,利確,09:35,12:57,2.6283,0.0,2.7
20250423,1967,ヤマト,1548.0,1578.96,200,6192.000000000007,2.0000000000000027,利確,09:39,10:13,2.0026,-0.3876,0.52
20250424,9235,売れるネット広告社グループ,792.0,784.08,500,-3959.9999999999795,-0.9999999999999948,損切り,09:36,09:40,0.8838,-1.3889,2.06
20250425,2195,アミタホールディングス,334.0,330.66,1100,-3673.9999999999727,-0.9999999999999926,損切り,09:31,09:32,0.0,-1.1976,1.52
20250428,6923,スタンレー電気,2698.5,2687.0,100,-1150.0,-0.4261626829720215,前場引け,09:30,11:30,0.7412,-0.6856,0.2
20250430,5834,ＳＢＩリーシングサービス,3565.0,3529.35,100,-3565.000000000009,-1.0000000000000027,損切り,09:31,09:48,0.561,-1.122,1.86
20250602,4434,サーバーワークス,2599.0,2582.0,100,-1700.0,-0.6540977298961139,前場引け,09:33,11:30,1.5391,-0.7695,2.24
20250603,2168,パソナグループ,2410.0,2458.2,100,4819.999999999982,1.9999999999999925,利確,09:37,10:22,2.1992,-0.2075,2.42
20250604,8392,大分銀行,3755.0,3717.45,100,-3755.000000000018,-1.0000000000000049,損切り,09:31,09:49,0.3995,-1.1984,1.76
20250605,7383,ネットプロテクションズホールディングス,579.0,573.21,600,-3473.999999999978,-0.9999999999999938,損切り,09:37,09:42,0.5181,-1.0363,2.48
20250606,4334,ユークス,418.0,426.36,900,7524.000000000013,2.000000000000003,利確,09:30,10:14,3.3493,-0.2392,0.97
20250609,5632,三菱製鋼,1811.0,1847.22,200,7244.0000000000055,2.0000000000000013,利確,09:30,09:36,2.0431,-0.2209,1.06
20250610,1844,大盛工業,387.0,394.74,1000,7740.000000000009,2.0000000000000027,利確,09:31,10:04,2.0672,-0.5168,1.31
20250611,6315,ＴＯＷＡ,1640.0,1672.8,200,6559.999999999991,1.9999999999999973,利確,09:30,10:45,2.0122,-0.9146,2.37
20250612,6912,菊水ホールディングス,1376.0,1385.0,200,1800.0,0.6540697674418605,大引け,09:30,15:30,0.6541,-0.6541,1.93
20250613,7224,新明和工業,1463.0,1492.26,200,5851.999999999998,1.9999999999999993,利確,09:31,09:34,2.1189,0.0,0.0
20250616,3370,フジタコーポレーション,324.0,330.48,1200,7776.000000000022,2.0000000000000058,利確,09:31,10:39,4.0123,0.0,1.57
20250617,6800,ヨコオ,1225.0,1249.5,300,7350.0,2.0,利確,09:35,12:43,3.102,-0.0816,1.32
20250618,3948,光ビジネスフォーム,1122.0,1144.44,300,6732.000000000016,2.000000000000005,利確,09:34,11:00,2.4955,0.0,1.17
20250619,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,104.0,106.08,3800,7903.999999999994,1.9999999999999982,利確,09:35,09:36,4.8077,0.0,2.97
20250620,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,3330.0,3396.6,100,6659.999999999991,1.9999999999999973,利確,09:30,09:36,2.0721,-0.0901,2.97
20250623,7725,インターアクション,1288.0,1275.12,300,-3864.0000000000327,-1.0000000000000084,損切り,09:31,09:41,0.1553,-1.2422,1.58
20250624,9878,セキド,1160.0,1148.4,300,-3479.9999999999727,-0.9999999999999922,損切り,09:30,09:34,1.2931,-1.7241,0.52
20250625,4617,中国塗料,2527.0,2577.54,100,5053.999999999996,1.9999999999999987,利確,09:30,09:53,2.0973,-0.0791,1.04
20250626,3747,インタートレード,418.0,426.36,900,7524.000000000013,2.000000000000003,利確,09:30,09:34,2.3923,-0.4785,2.7
20250627,2934,ジェイフロンティア,1880.0,1917.6000000000001,200,7520.000000000027,2.000000000000007,利確,09:30,10:14,2.5,-0.8511,0.59
20250630,4448,ｋｕｂｅｌｌ,477.0,486.54,800,7632.000000000016,2.000000000000004,利確,09:33,12:46,2.5157,-0.8386,1.71
20250701,1945,東京エネシス,1297.0,1322.94,300,7782.000000000016,2.000000000000004,利確,09:30,13:02,2.313,-0.9252,1.33
20250702,8011,三陽商会,2718.0,2772.36,100,5436.000000000013,2.0000000000000044,利確,09:30,10:05,2.4283,-0.0368,2.07
20250703,5016,ＪＸ金属,836.1,832.3,400,-1520.0000000000273,-0.45449108958259393,前場引け,09:30,11:30,0.9449,-0.61,1.35
20250704,1911,住友林業,1462.5,1447.875,200,-2925.0,-1.0,損切り,09:35,10:11,0.0,-1.0256,1.21
20250707,8699,ＨＳホールディングス,1049.0,1069.98,300,6294.0000000000055,2.0000000000000018,利確,09:30,09:59,2.0019,-0.3813,0.96
20250708,8273,イズミ,3404.0,3453.0,100,4900.0,1.4394829612220916,大引け,09:31,15:30,1.8801,-0.1469,0.12
20250709,9861,吉野家ホールディングス,3253.0,3261.0,100,800.0,0.24592683676606208,大引け,09:30,15:30,0.6763,-0.6148,0.18
20250710,7513,コジマ,1384.0,1370.16,200,-2767.9999999999836,-0.9999999999999941,損切り,09:30,10:22,0.7948,-2.0231,1.91
20250711,4099,四国化成ホールディングス,2118.0,2160.36,100,4236.000000000013,2.0000000000000058,利確,09:34,10:19,2.0302,0.0,2.12
20250714,5542,新報国マテリアル,799.0,814.98,500,7990.000000000009,2.000000000000002,利確,09:30,09:59,2.6283,-0.3755,2.04
20250715,8252,丸井グループ,2960.0,2983.5,100,2350.0,0.793918918918919,大引け,09:30,15:30,1.0811,-0.1858,0.51
20250716,6962,大真空,579.0,573.21,600,-3473.999999999978,-0.9999999999999938,損切り,09:32,10:18,0.3454,-1.0363,0.7
20250717,6044,三機サービス,1382.0,1368.18,200,-2763.9999999999873,-0.9999999999999953,損切り,09:31,10:28,0.2171,-1.013,0.8
20250718,6543,日宣,1067.0,1056.33,300,-3201.000000000022,-1.0000000000000069,損切り,09:31,09:33,0.1874,-1.687,0.66
20250722,6312,,1125.0,1147.5,300,6750.0,2.0,利確,09:35,14:21,2.2222,-0.4444,2.46
20250723,2780,コメ兵ホールディングス,2954.0,2924.46,100,-2953.9999999999964,-0.9999999999999988,損切り,09:30,10:03,0.3047,-1.0156,2.96
20250724,6371,椿本チエイン,1976.0,2015.52,200,7903.999999999996,1.9999999999999991,利確,09:30,13:55,2.1255,-0.1012,2.07
20250725,6200,インソース,942.0,932.58,400,-3767.9999999999836,-0.9999999999999957,損切り,09:35,13:13,1.2739,-1.0616,1.07
20250728,4056,ニューラルグループ,842.0,858.84,400,6736.000000000013,2.000000000000004,利確,09:30,09:32,2.4941,-0.8314,1.94
20250729,2281,プリマハム,2558.0,2532.42,100,-2557.9999999999927,-0.9999999999999971,損切り,09:30,12:30,0.9773,-4.222,1.19
20250730,5532,リアルゲイト,2242.0,2219.58,100,-2242.0000000000073,-1.0000000000000033,損切り,09:30,09:32,1.1597,-1.2043,1.91
20250731,7282,豊田合成,3245.0,3212.55,100,-3244.999999999982,-0.9999999999999944,損切り,09:30,12:30,1.0786,-1.5716,0.87
20250801,7229,ユタカ技研,2717.0,2771.34,100,5434.000000000015,2.0000000000000053,利確,09:30,10:36,2.0243,-0.0368,0.26
20250804,4819,デジタルガレージ,3435.0,3420.0,100,-1500.0,-0.43668122270742354,前場引け,09:33,11:30,0.4367,-0.7278,0.29
20250805,6310,井関農機,1538.0,1522.62,200,-3076.000000000022,-1.000000000000007,損切り,09:31,09:40,0.1951,-1.1704,1.18
20250806,7239,タチエス,1853.0,1866.0,200,2600.0,0.7015650296815974,大引け,09:30,15:30,1.8888,-0.4857,0.54
20250807,1719,安藤・間,1711.0,1704.0,200,-1400.0,-0.4091174751607247,前場引け,09:30,11:30,0.1753,-0.526,0.71
20250808,9330,揚羽,1190.0,1213.8,300,7139.999999999986,1.9999999999999962,利確,09:30,09:31,2.521,0.0,2.94
20250812,6753,シャープ,832.9,824.571,400,-3331.5999999999804,-0.9999999999999941,損切り,09:30,09:37,0.7204,-1.2006,2.22
20250813,6677,エスケーエレクトロニクス,2863.0,2834.37,100,-2863.000000000011,-1.0000000000000038,損切り,09:30,09:57,0.7684,-1.1177,2.25
20250814,6459,大和冷機工業,1641.0,1624.59,200,-3282.0000000000164,-1.000000000000005,損切り,09:30,10:10,0.3047,-1.0969,0.55
20250815,6361,荏原製作所,3133.0,3195.66,100,6265.999999999985,1.9999999999999951,利確,09:30,09:42,2.1066,-0.798,1.06
20250818,3964,オークネット,1826.0,1846.0,200,4000.0,1.095290251916758,大引け,09:30,15:30,1.862,-0.5476,2.41
20250819,6613,ＱＤレーザ,348.0,354.96,1100,7655.999999999977,1.9999999999999942,利確,09:32,09:35,2.8736,0.0,1.46
20250820,5541,大平洋金属,1906.0,1944.1200000000001,200,7624.000000000024,2.000000000000006,利確,09:33,10:47,2.0462,-0.5247,2.53
20250821,8917,ファースト住建,1087.0,1108.74,300,6522.000000000003,2.000000000000001,利確,09:30,10:05,2.2079,-0.184,0.83
20250822,5246,ＥＬＥＭＥＮＴＳ,1074.0,1095.48,300,6444.0000000000055,2.0000000000000018,利確,09:31,09:34,3.7244,-0.0931,1.8
20250825,3623,ビリングシステム,1251.0,1276.02,300,7505.9999999999945,1.9999999999999987,利確,09:32,09:40,2.3181,-0.0799,0.16
20250826,4167,ココペリ,385.0,392.7,1000,7699.999999999989,1.999999999999997,利確,09:30,09:33,3.1169,0.0,1.85
20250827,1963,日揮ホールディングス,1399.5,1427.49,200,5598.000000000002,2.000000000000001,利確,09:35,13:20,2.1079,-0.393,1.01
20250828,2157,コシダカホールディングス,1436.0,1421.64,200,-2871.99999999998,-0.9999999999999931,損切り,09:30,09:42,0.1393,-1.1142,0.7
20250829,4617,中国塗料,3465.0,3534.3,100,6930.000000000018,2.0000000000000053,利確,09:32,10:06,2.0202,-0.4329,2.06
20250901,7030,スプリックス,1337.0,1363.74,200,5348.000000000002,2.000000000000001,利確,09:30,09:45,2.2438,0.0,1.29
20250902,5210,日本山村硝子,2904.0,2874.96,100,-2903.9999999999964,-0.9999999999999988,損切り,09:30,10:13,0.0,-1.1364,0.8
20250903,2212,山崎製パン,3356.0,3343.0,100,-1300.0,-0.3873659117997616,前場引け,09:30,11:30,0.447,-0.8641,0.45
20250904,8917,ファースト住建,1170.0,1158.3,300,-3510.0000000000136,-1.0000000000000038,損切り,09:34,15:18,0.5128,-1.0256,0.69
20250905,2311,エプコ,926.0,916.74,400,-3703.9999999999964,-0.999999999999999,損切り,09:31,10:02,0.9719,-1.5119,0.11
